number,user_id,type,balance,status,created_at,interest_rate
100148,148,checking,7619.0,True,2025-02-13 11:27:15,0.0
100149,149,checking,18834.67,True,2025-02-13 11:27:15,0.0
100150,150,checking,2088.11,True,2025-02-13 11:27:15,0.0
100151,151,checking,24985.05,True,2025-02-13 11:27:15,0.0
100152,152,checking,8273.0,True,2025-02-13 11:27:15,0.0
100153,153,checking,6340.63,True,2025-02-13 11:27:15,0.0
100154,154,checking,21562.54,True,2025-02-13 11:27:15,0.0
100155,155,checking,6755.02,True,2025-02-13 11:27:15,0.0
100156,156,checking,16598.41,True,2025-02-13 11:27:15,0.0
100157,157,checking,4875.85,True,2025-02-13 11:27:15,0.0
100158,158,checking,12763.49,True,2025-02-13 11:27:15,0.0
100159,159,checking,20266.82,True,2025-02-13 11:27:15,0.0
100160,160,checking,2938.73,True,2025-02-13 11:27:15,0.0
100161,161,checking,7800.04,True,2025-02-13 11:27:15,0.0
100162,162,checking,6049.8,True,2025-02-13 11:27:15,0.0
100163,163,checking,15290.03,True,2025-02-13 11:27:15,0.0
100164,164,checking,10100.89,True,2025-02-13 11:27:15,0.0
100165,165,checking,12860.08,True,2025-02-13 11:27:15,0.0
100166,166,checking,10775.63,True,2025-02-13 11:27:15,0.0
100167,167,checking,21475.19,True,2025-02-13 11:27:15,0.0
100168,168,checking,4993.53,True,2025-02-13 11:27:15,0.0
100169,169,checking,18040.74,True,2025-02-13 11:27:15,0.0
100170,170,checking,20159.32,True,2025-02-13 11:27:15,0.0
100171,171,checking,24545.13,True,2025-02-13 11:27:15,0.0
100172,172,checking,11750.68,True,2025-02-13 11:27:15,0.0
100173,173,checking,13787.74,True,2025-02-13 11:27:15,0.0
100174,174,checking,4434.45,True,2025-02-13 11:27:15,0.0
100175,175,checking,12383.96,True,2025-02-13 11:27:15,0.0
100176,176,checking,464.53,True,2025-02-13 11:27:15,0.0
100177,177,checking,1719.77,True,2025-02-13 11:27:15,0.0
100178,178,checking,13247.29,True,2025-02-13 11:27:15,0.0
100179,179,checking,8377.06,True,2025-02-13 11:27:15,0.0
100180,180,checking,22119.21,True,2025-02-13 11:27:15,0.0
100181,181,checking,22043.46,True,2025-02-13 11:27:15,0.0
100182,182,checking,24628.0,True,2025-02-13 11:27:15,0.0
100183,183,checking,7007.16,True,2025-02-13 11:27:15,0.0
100184,184,checking,8065.4,True,2025-02-13 11:27:15,0.0
100185,185,checking,3002.97,True,2025-02-13 11:27:15,0.0
100186,186,checking,17777.5,True,2025-02-13 11:27:15,0.0
100187,187,checking,23131.37,True,2025-02-13 11:27:15,0.0
100188,188,checking,20729.54,True,2025-02-13 11:27:15,0.0
100189,189,checking,10012.41,True,2025-02-13 11:27:15,0.0
100190,190,checking,5779.01,True,2025-02-13 11:27:15,0.0
100191,191,checking,15905.04,True,2025-02-13 11:27:15,0.0
100192,192,checking,19023.4,True,2025-02-13 11:27:15,0.0
100193,193,checking,1885.77,True,2025-02-13 11:27:15,0.0
100194,194,checking,9262.02,True,2025-02-13 11:27:15,0.0
100195,195,checking,18216.33,True,2025-02-13 11:27:15,0.0
100196,196,checking,15271.57,True,2025-02-13 11:27:15,0.0
100197,197,checking,2973.23,True,2025-02-13 11:27:15,0.0
100198,198,checking,17518.89,True,2025-02-13 11:27:15,0.0
100199,199,checking,23269.8,True,2025-02-13 11:27:15,0.0
100200,200,checking,18684.17,True,2025-02-13 11:27:15,0.0
